Label,Degree,clustering,triangles
Myriel,10,0.066667,3
Napoleon,1,0,0
MlleBaptistine,3,1,3
MmeMagloire,3,1,3
CountessDeLo,1,0,0
Geborand,1,0,0
Champtercier,1,0,0
Cravatte,1,0,0
Count,1,0,0
OldMan,1,0,0
Labarre,1,0,0
Valjean,36,0.120635,76
Marguerite,2,1,1
MmeDeR,1,0,0
Isabeau,1,0,0
Gervais,1,0,0
Tholomyes,9,0.611111,22
Listolier,7,1,21
Fameuil,7,1,21
Blacheville,7,1,21
Favourite,7,1,21
Dahlia,7,1,21
Zephine,7,1,21
Fantine,15,0.314286,33
MmeThenardier,11,0.490909,27
Thenardier,16,0.408333,49
Cosette,11,0.381818,21
Javert,17,0.323529,44
Fauchelevent,4,0.333333,2
Bamatabois,8,0.642857,18
Perpetue,2,1,1
Simplice,4,0.666667,4
Scaufflaire,1,0,0
Woman1,2,1,1
Judge,6,1,15
Champmathieu,6,1,15
Brevet,6,1,15
Chenildieu,6,1,15
Cochepaille,6,1,15
Pontmercy,3,0.333333,1
Boulatruelle,1,0,0
Eponine,11,0.454545,25
Anzelma,3,1,3
Woman2,3,1,3
MotherInnocent,2,1,1
Gribier,1,0,0
Jondrette,1,0,0
MmeBurgon,2,0,0
Gavroche,22,0.354978,82
Gillenormand,7,0.47619,10
Magnon,2,0,0
MlleGillenormand,7,0.428571,9
MmePontmercy,2,0,0
MlleVaubois,1,0,0
LtGillenormand,4,1,6
Marius,19,0.333333,57
BaronessT,2,1,1
Mabeuf,11,0.690909,38
Enjolras,15,0.609524,64
Combeferre,11,0.927273,51
Prouvaire,9,1,36
Feuilly,11,0.927273,51
Courfeyrac,13,0.75641,59
Bahorel,12,0.863636,57
Bossuet,13,0.769231,60
Joly,12,0.863636,57
Grantaire,10,0.933333,42
MotherPlutarch,1,0,0
Gueulemer,10,0.8,36
Babet,10,0.8,36
Claquesous,10,0.711111,32
Montparnasse,9,0.833333,30
Toussaint,3,1,3
Child1,2,1,1
Child2,2,1,1
Brujon,7,0.904762,19
MmeHucheloup,7,1,21
